price,bedrooms,bathrooms,sqft_lot,floors,sqft_above,Scored Labels
410000.0,4,1.75,11875,1.0,1490,456232.28165871854
370000.0,2,1.5,2102,2.0,1010,262782.8123921404
472000.0,3,2.5,1262,3.0,1180,303857.49557167664
500000.0,3,2.5,1171,3.0,1480,376330.1385980168
460000.0,2,1.0,4650,1.0,850,261030.90943751627
350000.0,3,2.5,7836,2.0,2680,765739.539365089
310000.0,3,1.5,3104,2.0,1140,267297.6071256831
425000.0,5,2.5,9425,1.0,1590,550558.6351238529
385000.0,4,2.0,7102,1.0,1220,424489.7720937361
626000.0,3,2.25,1572,2.5,1470,392624.50376154186
225000.0,4,2.5,6031,2.0,1700,503065.28556061175
417000.0,3,2.5,11211,2.0,2040,610160.1570835994
495000.0,4,3.0,2811,2.0,2240,698450.5239167996
229000.0,4,1.5,22814,1.5,1820,449749.01872561633
299500.0,3,1.0,6726,1.0,1280,337662.68787295785
559950.0,3,2.5,4310,2.0,2120,631585.5723327091
490000.0,4,2.25,85813,2.0,2020,523982.66816208186
1150000.0,3,2.5,24437,1.0,2160,736765.0671335529
375000.0,3,1.0,9486,1.0,1190,315086.63725183625
278500.0,3,1.75,8980,1.0,1390,459539.8813576939
250000.0,3,2.0,11161,1.0,1140,430504.06363790116
518000.0,4,2.5,4000,1.5,1510,508635.9229270784
420000.0,2,1.5,3500,1.5,1040,320432.85279415164
680000.0,4,2.5,28037,2.0,3140,844082.4775921335
660000.0,2,1.0,5000,1.0,1070,314050.291065297
313100.0,3,2.0,12821,1.0,1730,572472.1823545074
555000.0,3,2.0,3478,1.5,1440,454462.0999689302
445000.0,5,1.75,6846,1.5,1340,344140.71227995085
365000.0,5,2.5,7040,2.0,2260,611415.578692147
935000.0,4,2.0,4500,2.0,1850,475753.6480137747
1655000.0,4,2.25,5500,2.0,2860,751346.7942392577
555000.0,4,2.25,8125,1.0,1450,511719.25574833166
1475000.0,5,4.0,31570,2.0,4770,1402053.2891323264
600000.0,2,2.5,1988,2.0,1530,516391.6348065602
365000.0,3,1.5,8160,1.0,1310,408470.85540328687
370350.0,3,3.5,1168,2.0,1080,509405.52176272136
938000.0,4,2.5,9886,1.0,1990,673583.1282584034
890000.0,5,1.0,4652,2.0,2310,432214.3590588381
377500.0,2,1.0,4500,1.0,840,258661.8737531908
647500.0,5,2.0,21562,1.0,1560,475607.4180724996
585000.0,4,1.75,27122,1.0,1300,405695.8252922297
374900.0,5,2.75,8500,1.0,1540,570767.6133524056
879900.0,4,2.75,12000,1.0,1840,668716.0520697623
302059.0,4,2.0,745,3.0,1390,264153.1882019607
435000.0,2,1.0,3036,1.5,1060,261402.70055122089
454000.0,3,2.0,10000,2.0,1700,464424.2199160017
650000.0,3,1.0,8266,1.0,1300,342022.2033941348
790000.0,4,3.5,3000,2.0,2250,764809.1162686897
470000.0,3,1.75,8600,1.0,1310,440337.26056459907
375000.0,3,1.0,7955,1.0,1260,332457.83272141346
246500.0,3,2.0,8919,1.0,1430,501218.55021442834
632500.0,5,3.25,7254,2.0,2760,828093.8780886179
482000.0,4,2.75,15750,1.0,1560,599956.0214671816
899000.0,4,2.5,9349,2.0,3540,946380.8297735716
680000.0,2,2.0,989,3.0,1450,331711.83299035067
370000.0,5,3.0,9920,1.0,1400,568527.2350539514
280000.0,6,3.0,9373,2.0,2400,681940.3280535352
410988.0,3,1.75,14061,1.0,1000,363810.3977587265
374000.0,3,1.0,9800,1.0,1200,317405.60587246355
1100000.0,4,2.5,8881,2.0,1940,560151.1072147507
355000.0,1,0.75,33278,1.0,530,169587.98436398906
490000.0,3,1.0,2250,1.5,1180,264048.5196634723
606000.0,4,2.5,13850,2.0,2110,599686.2246587363
825000.0,4,2.5,4000,2.0,2180,619597.1024631008
437000.0,3,1.75,17568,1.0,2220,657348.8614494076
